DataStructure,Operation,DataSize,Time_Microseconds,Memory_KB
BPlusTree_8,Random_Insert,1000000,234738,134902
BPlusTree_16,Random_Insert,1000000,269920,108458
BPlusTree_32,Random_Insert,1000000,287102,97734
BPlusTree_128,Random_Insert,1000000,344866,88895
BPlusTree_256,Random_Insert,1000000,346914,87410
HashMap,Sequential_Delete,100,12,1
TreeMap,Sequential_Delete,100,49,0
RedBlackTree,Sequential_Delete,100,11,8
BPlusTree_8,Sequential_Delete,100,118,1
BPlusTree_16,Sequential_Delete,100,62,0
BPlusTree_32,Sequential_Delete,100,49,0
BPlusTree_128,Sequential_Delete,100,29,0
BPlusTree_256,Sequential_Delete,100,27,0
HashMap,Sequential_Delete,1000,16,8
TreeMap,Sequential_Delete,1000,60,0
RedBlackTree,Sequential_Delete,1000,81,99
BPlusTree_8,Sequential_Delete,1000,304,0
BPlusTree_16,Sequential_Delete,1000,304,0
BPlusTree_32,Sequential_Delete,1000,463,0
BPlusTree_128,Sequential_Delete,1000,297,0
BPlusTree_256,Sequential_Delete,1000,313,0
HashMap,Sequential_Delete,10000,44,64
TreeMap,Sequential_Delete,10000,223,0
RedBlackTree,Sequential_Delete,10000,212,1084
BPlusTree_8,Sequential_Delete,10000,1777,0
BPlusTree_16,Sequential_Delete,10000,3621,0
BPlusTree_32,Sequential_Delete,10000,3167,0
BPlusTree_128,Sequential_Delete,10000,2757,0
BPlusTree_256,Sequential_Delete,10000,2743,0
HashMap,Sequential_Delete,100000,830,2048
TreeMap,Sequential_Delete,100000,3582,0
RedBlackTree,Sequential_Delete,100000,3232,10933
BPlusTree_8,Sequential_Delete,100000,19022,0
BPlusTree_16,Sequential_Delete,100000,37412,0
BPlusTree_32,Sequential_Delete,100000,32864,0
BPlusTree_128,Sequential_Delete,100000,27927,0
BPlusTree_256,Sequential_Delete,100000,28238,0
HashMap,Sequential_Delete,1000000,8098,10240
TreeMap,Sequential_Delete,1000000,50186,0
RedBlackTree,Sequential_Delete,1000000,37357,109426
BPlusTree_8,Sequential_Delete,1000000,202114,0
BPlusTree_16,Sequential_Delete,1000000,387537,0
BPlusTree_32,Sequential_Delete,1000000,333812,0
BPlusTree_128,Sequential_Delete,1000000,284424,0
BPlusTree_256,Sequential_Delete,1000000,281891,0
HashMap,Random_Delete,100,2,1
TreeMap,Random_Delete,100,7,0
RedBlackTree,Random_Delete,100,107,2
BPlusTree_8,Random_Delete,100,154,0
BPlusTree_16,Random_Delete,100,140,0
BPlusTree_32,Random_Delete,100,60,0
BPlusTree_128,Random_Delete,100,17,0
BPlusTree_256,Random_Delete,100,24,0
HashMap,Random_Delete,1000,18,8
TreeMap,Random_Delete,1000,58,0
RedBlackTree,Random_Delete,1000,30,21
BPlusTree_8,Random_Delete,1000,480,0
BPlusTree_16,Random_Delete,1000,479,0
BPlusTree_32,Random_Delete,1000,344,0
BPlusTree_128,Random_Delete,1000,361,0
BPlusTree_256,Random_Delete,1000,342,0
HashMap,Random_Delete,10000,75,64
